param,mean,std,median,min,max,transform,MPF,Actual
beta_1_5,-0.29908020781024297,0.27712068166949216,-0.29627347025206585,-1.2689770691475235,0.721289600909932,-0.07477005195256074,-0.097510879069,-0.15166516635
beta_1_6,-0.5376412160156089,0.3962404296034195,-0.5379926967052264,-2.060344422191253,1.271228171449264,-0.13441030400390222,-0.24442094501,-0.23887710953
beta_1_7,-1.0936316722865407,0.3338805676842368,-1.0866019757311045,-2.4632311515168546,0.10599832136015067,-0.27340791807163517,-0.11881747175,0.038338357236
beta_1_8,-0.5566009113012789,0.2941263051400586,-0.557790834542613,-1.5753150849191078,0.5662804835962987,-0.13915022782531972,-0.099116285443,-0.1884746232
beta_1_9,-0.35633881946684737,0.27310480478412885,-0.3592515635747983,-1.409047370693357,0.6422116645778428,-0.08908470486671184,0.055913303916,0.059676179902
beta_2_10,0.2088982891279077,0.5433382605235757,0.20941848552281814,-2.118380440156722,2.3592312784390344,0.052224572281976925,0.003110556207,-0.10036396825
beta_2_3,0.021191954496337553,0.36396295272484014,0.026829041750216095,-1.3817730828390957,1.3832457051545657,0.005297988624084388,0.23176928276,0.2140860516
beta_2_4,1.2021443200281023,0.36839125614036566,1.1970375647895393,-0.06525972996774737,2.459823160092379,0.3005360800070256,-0.40316159461,-0.3541581456
beta_2_5,-1.8242113743239767,0.2704398386304783,-1.8222435574465194,-2.8785450478576347,-0.7299285876869415,-0.4560528435809942,-0.080148792287,0.014136665709
beta_2_6,-0.4308055900146057,0.3786497339923959,-0.42479222874552325,-1.760150040663944,1.003874118851172,-0.10770139750365143,0.53480869171,0.45511373617
beta_2_7,2.448622801689651,0.331292232789673,2.4442666056565145,1.284915686335645,3.934464197364003,0.6121557004224127,-0.11715095531,-0.095609783784
beta_2_8,-0.568462615227209,0.28391276051317504,-0.5698768520423234,-1.6014866361942952,0.4245301361453022,-0.14211565380680224,0.0028519679045,0.0088280104786
beta_2_9,-0.14421988502373032,0.32744762065614585,-0.14194732257021625,-1.4096821155636392,1.1836298336706654,-0.03605497125593258,0.03261548197,0.012524543562
beta_3_10,1.3395797836698422,0.4526878949720898,1.339076706586737,-0.10626070956793404,3.0484052380120152,0.33489494591746055,-0.034579664317,0.003194340956
beta_3_4,-0.030451769983306835,0.4615994443867674,-0.034132055100853195,-2.2063449674679787,1.6957143461577455,-0.007612942495826709,-0.41949967999,-0.47905586213
beta_3_5,-1.9131580658283494,0.38966716798378503,-1.900866975994885,-3.42505704784391,-0.26012226527819166,-0.47828951645708734,0.3464566225,0.3682640533
beta_3_6,1.5022380649836953,0.41150235866775997,1.4957033023814936,0.013324048102357744,3.2078123959720752,0.3755595162459238,-0.13006648219,-0.00059221598978
beta_3_7,-0.5978614872489335,0.4597926367377876,-0.5982132589474607,-2.1889973682431987,1.3095210197431193,-0.14946537181223338,-0.12019259887,-0.087750212419
beta_3_8,-0.368669569153637,0.3145585577953792,-0.3657132583335117,-1.463886601697487,0.88679888982277,-0.09216739228840926,-0.27315581338,-0.27875907852
beta_3_9,-1.329037503967124,0.42301406616561993,-1.3261996459554077,-3.0732871333279923,0.26523794689239855,-0.332259375991781,0.34712453169,0.42198117439
beta_4_10,2.0675249706890804,0.6997500551543443,2.0347076312888097,-0.3538276656878321,5.491360214838841,0.5168812426722701,0.23465236006,0.29501229681
beta_4_5,1.0476332765513572,0.31109229570510166,1.0466473720263856,-0.25142979150978684,2.252440615907951,0.2619083191378393,-0.56994983233,-0.45940251426
beta_4_6,-2.584623993764313,0.4464346635545706,-2.5710636519482986,-4.612850167993785,-1.00119490846936,-0.6461559984410783,-0.50025745918,-0.51026189004
beta_4_7,-2.321120755932995,0.3673527582361634,-2.3229505491508027,-3.809206384681072,-0.8384253017420359,-0.5802801889832487,0.12264634659,0.233912513
beta_4_8,0.5580488372166373,0.33588146547563735,0.5566578104705752,-0.59366973816315,1.7922427807807435,0.13951220930415933,-0.1028984958,-0.14992214047
beta_4_9,-0.30152151161454593,0.42985026528959197,-0.3016571685952547,-1.9084357378385817,1.4490446288721401,-0.07538037790363648,0.27171325181,0.17091741235
beta_5_10,0.5172502167812545,0.507238535327685,0.5142763464851079,-1.1474909943714506,2.3888914510418156,0.12931255419531362,-0.28826504851,-0.2473578397
beta_5_6,-1.3079145149610953,0.3358392961431164,-1.3084375592088486,-2.522365220906452,-0.011459064342550063,-0.32697862874027384,0.13187535549,0.074975537513
beta_5_7,0.6645995558534248,0.3341795196187051,0.6626955269893797,-0.5839163192995056,1.977155343380081,0.1661498889633562,-0.079669495985,-0.13159031122
